         name Perihelium       Aphelium   Diameter()       mass()      omega()
      MERCURY 6.605968E+01 1.002384E+02 7.006635E-03 1.659125E-07 1.271804E-01
        VENUS 1.543786E+02 1.563891E+02 1.738231E-02 2.448467E-06 3.086323E-02
        EARTH 2.112474E+02 2.184278E+02 1.831864E-02 3.001508E-06 7.519060E+00
         MOON 5.212971E-01 5.830485E-01 4.990378E-03 3.670186E-08 6.666470E+00
         MARS 2.966941E+02 3.578712E+02 9.753856E-03 3.227753E-07 1.427860E+01
      JUPITER 1.063417E+03 1.172703E+03 2.053365E-01 9.542484E-04 3.845279E+02
       SATURN 1.942442E+03 2.174943E+03 1.730993E-01 2.855706E-04 1.476233E+01
       URANUS 3.936726E+03 4.313410E+03 7.340954E-02 4.364002E-05 7.032204E+00
      NEPTUNE 6.382658E+03 6.527989E+03 7.112617E-02 5.128205E-05 1.089357E+01
        PLUTO 6.371600E+03 1.059238E+04 3.403510E-03 7.340372E-09 1.425338E-01
          SUN 0.000000E+00 0.000000E+00 1.000000E+00 1.000000E+00 0.000000E+00
